
#################################################################
#@  
#@  
#@  
####################################   2025-11-30[Nov-Sun]15-52PM 



opencloud-1  | 2025-11-30T19:44:05Z DBG 127.0.0.1:44936 - cid:38 - Client connection created line=github.com/opencloud-eu/opencloud/services/nats/pkg/logging/nats.go:45 service=nats
opencloud-1  | 2025-11-30T19:44:05Z DBG setup cors middleware allow_credentials=true allowed_headers="Authorization, Origin, Content-Type, Accept, X-Requested-With, X-Request-Id, Ocs-Apirequest" allowed_methods=GET allowed_origins=* line=github.com/opencloud-eu/opencloud/pkg/middleware/header.go:33 service=userlog
opencloud-1  | 2025-11-30T19:44:05Z DBG setup cors middleware allow_credentials=false allowed_headers= allowed_methods= allowed_origins=https://cloud.opencloud.test line=github.com/opencloud-eu/opencloud/pkg/middleware/header.go:33 service=webfinger
opencloud-1  | 2025-11-30T19:44:05Z INF running on 8 cpus host.name=95bff279320b line=github.com/opencloud-eu/reva/v2@v2.39.3/cmd/revad/runtime/runtime.go:179 service=ocm
opencloud-1  | 2025-11-30T19:44:05Z INF running on 8 cpus host.name=95bff279320b line=github.com/opencloud-eu/reva/v2@v2.39.3/cmd/revad/runtime/runtime.go:179 service=ocm
opencloud-1  | 2025-11-30T19:44:05Z INF registering external service eu.opencloud.api.ocm-35f40791-083d-4ce2-8810-d5dbff55dbc1@127.0.0.1:9282 line=github.com/opencloud-eu/opencloud/pkg/registry/register.go:19 service=ocm
opencloud-1  | 2025-11-30T19:44:05Z INF registering external service eu.opencloud.web.ocm-35f40791-083d-4ce2-8810-d5dbff55dbc1@127.0.0.1:9280 line=github.com/opencloud-eu/opencloud/pkg/registry/register.go:19 service=ocm
opencloud-1  | 2025-11-30T19:44:05Z INF rgrpc: grpc service enabled: authprovider host.name=95bff279320b line=github.com/opencloud-eu/reva/v2@v2.39.3/pkg/rgrpc/rgrpc.go:228 pkg=rgrpc service=ocm
opencloud-1  | 2025-11-30T19:44:05Z DBG 127.0.0.1:44944 - cid:39 - Client connection created line=github.com/opencloud-eu/opencloud/services/nats/pkg/logging/nats.go:45 service=nats
opencloud-1  | 2025-11-30T19:44:05Z DBG 127.0.0.1:44968 - cid:40 - Client connection created line=github.com/opencloud-eu/opencloud/services/nats/pkg/logging/nats.go:45 service=nats
opencloud-1  | 2025-11-30T19:44:05Z DBG 127.0.0.1:44956 - cid:41 - Client connection created line=github.com/opencloud-eu/opencloud/services/nats/pkg/logging/nats.go:45 service=nats
opencloud-1  | 2025-11-30T19:44:05Z INF rgrpc: grpc service enabled: ocminvitemanager host.name=95bff279320b line=github.com/opencloud-eu/reva/v2@v2.39.3/pkg/rgrpc/rgrpc.go:228 pkg=rgrpc service=ocm
opencloud-1  | 2025-11-30T19:44:05Z INF rgrpc: grpc service enabled: ocmproviderauthorizer host.name=95bff279320b line=github.com/opencloud-eu/reva/v2@v2.39.3/pkg/rgrpc/rgrpc.go:228 pkg=rgrpc service=ocm
opencloud-1  | 2025-11-30T19:44:05Z INF rgrpc: grpc service enabled: ocmshareprovider host.name=95bff279320b line=github.com/opencloud-eu/reva/v2@v2.39.3/pkg/rgrpc/rgrpc.go:228 pkg=rgrpc service=ocm
opencloud-1  | 2025-11-30T19:44:05Z DBG 127.0.0.1:44968 - cid:40 - "v1.47.0:go" - Client connection closed: Client Closed line=github.com/opencloud-eu/opencloud/services/nats/pkg/logging/nats.go:45 service=nats
opencloud-1  | 2025-11-30T19:44:05Z INF rgrpc: grpc service enabled: ocmcore host.name=95bff279320b line=github.com/opencloud-eu/reva/v2@v2.39.3/pkg/rgrpc/rgrpc.go:228 pkg=rgrpc service=ocm
opencloud-1  | 2025-11-30T19:44:05Z INF rgrpc: grpc service enabled: storageprovider host.name=95bff279320b line=github.com/opencloud-eu/reva/v2@v2.39.3/pkg/rgrpc/rgrpc.go:228 pkg=rgrpc service=ocm
opencloud-1  | 2025-11-30T19:44:05Z INF http service enabled: sciencemesh@/sciencemesh host.name=95bff279320b line=github.com/opencloud-eu/reva/v2@v2.39.3/pkg/rhttp/rhttp.go:220 pkg=rhttp service=ocm
opencloud-1  | 2025-11-30T19:44:05Z INF grpc server listening at tcp:127.0.0.1:9282 host.name=95bff279320b line=github.com/opencloud-eu/reva/v2@v2.39.3/pkg/rgrpc/rgrpc.go:192 pkg=rgrpc service=ocm
opencloud-1  | 2025-11-30T19:44:05Z INF http service enabled: ocmd@/ocm host.name=95bff279320b line=github.com/opencloud-eu/reva/v2@v2.39.3/pkg/rhttp/rhttp.go:220 pkg=rhttp service=ocm
opencloud-1  | 2025-11-30T19:44:05Z WRN missing or incomplete nats configuration. Events will not be published. host.name=95bff279320b line=github.com/opencloud-eu/reva/v2@v2.39.3/internal/http/services/dataprovider/dataprovider.go:84 pkg=rhttp service=ocm
opencloud-1  | 2025-11-30T19:44:05Z INF http service enabled: dataprovider@/data host.name=95bff279320b line=github.com/opencloud-eu/reva/v2@v2.39.3/pkg/rhttp/rhttp.go:220 pkg=rhttp service=ocm
opencloud-1  | 2025-11-30T19:44:05Z INF http service enabled: wellknown@/ host.name=95bff279320b line=github.com/opencloud-eu/reva/v2@v2.39.3/pkg/rhttp/rhttp.go:220 pkg=rhttp service=ocm
opencloud-1  | 2025-11-30T19:44:05Z DBG 127.0.0.1:44982 - cid:42 - Client connection created line=github.com/opencloud-eu/opencloud/services/nats/pkg/logging/nats.go:45 service=nats
opencloud-1  | 2025-11-30T19:44:05Z INF http middleware enabled: prometheus host.name=95bff279320b line=github.com/opencloud-eu/reva/v2@v2.39.3/pkg/rhttp/rhttp.go:193 pkg=rhttp service=ocm
opencloud-1  | 2025-11-30T19:44:05Z INF http middleware enabled: cors host.name=95bff279320b line=github.com/opencloud-eu/reva/v2@v2.39.3/pkg/rhttp/rhttp.go:193 pkg=rhttp service=ocm
opencloud-1  | 2025-11-30T19:44:05Z INF http middleware enabled: requestid host.name=95bff279320b line=github.com/opencloud-eu/reva/v2@v2.39.3/pkg/rhttp/rhttp.go:193 pkg=rhttp service=ocm
opencloud-1  | 2025-11-30T19:44:05Z INF chaining http middleware cors with priority  200 host.name=95bff279320b line=github.com/opencloud-eu/reva/v2@v2.39.3/pkg/rhttp/rhttp.go:273 pkg=rhttp service=ocm
opencloud-1  | 2025-11-30T19:44:05Z INF chaining http middleware prometheus with priority  100 host.name=95bff279320b line=github.com/opencloud-eu/reva/v2@v2.39.3/pkg/rhttp/rhttp.go:273 pkg=rhttp service=ocm
